customer_city,customer_state,order_count,total_revenue,avg_order_value
sao paulo,SP,15045,2107960.17,140.11
rio de janeiro,RJ,6601,1111732.21,168.42
belo horizonte,MG,2697,405950.51,150.52
brasilia,DF,2071,345199.05,166.68
curitiba,PR,1489,238459.72,160.15
porto alegre,RS,1342,214805.84,160.06
campinas,SP,1406,209002.9,148.65
salvador,BA,1188,207713.3,174.84
guarulhos,SP,1144,157735.65,137.88
niteroi,RJ,825,135447.96,164.18
sao bernardo do campo,SP,911,116784.58,128.19
goiania,GO,660,113301.29,171.67
fortaleza,CE,618,112951.55,182.77
santos,SP,700,111170.11,158.81
recife,PE,593,104795.5,176.72
santo andre,SP,777,101772.63,130.98
florianopolis,SC,556,97853.16,175.99
belem,PA,428,92919.26,217.1
osasco,SP,724,92448.68,127.69
jundiai,SP,549,90313.88,164.51
sao jose dos campos,SP,667,86488.5,129.67
sorocaba,SP,609,85053.32,139.66
juiz de fora,MG,423,74851.45,176.95
ribeirao preto,SP,499,74200.92,148.7
nova iguacu,RJ,423,68470.1,161.87
campo grande,MS,312,64758.83,207.56
sao luis,MA,335,62151.29,185.53
vitoria,ES,373,61443.56,164.73
joao pessoa,PB,245,61117.81,249.46
sao goncalo,RJ,385,59380.09,154.23
teresina,PI,271,59131.25,218.2
contagem,MG,415,57205.31,137.84
barueri,SP,419,57077.1,136.22
mogi das cruzes,SP,374,56768.08,151.79
uberlandia,MG,367,55691.92,151.75
piracicaba,SP,356,55607.7,156.2
vila velha,ES,326,54651.49,167.64
sao jose do rio preto,SP,329,53296.6,162.0
londrina,PR,298,52425.06,175.92
maceio,AL,236,51621.66,218.74
maua,SP,317,48117.99,151.79
cuiaba,MT,243,45858.08,188.72
bauru,SP,263,44290.9,168.41
maringa,PR,260,44263.88,170.25
praia grande,SP,296,43271.53,146.19
natal,RN,203,42625.09,209.98
aracaju,SE,213,42347.44,198.81
caxias do sul,RS,220,41558.69,188.9
serra,ES,278,41555.07,149.48
indaiatuba,SP,274,41313.42,150.78
joinville,SC,257,40500.47,157.59
taboao da serra,SP,284,39300.67,138.38
volta redonda,RJ,227,38606.53,170.07
petropolis,RJ,234,38480.14,164.45
duque de caxias,RJ,250,38406.24,153.62
divinopolis,MG,132,38370.43,290.69
campos dos goytacazes,RJ,232,37738.28,162.66
marilia,SP,194,37219.88,191.86
santa maria,RS,193,37085.56,192.15
carapicuiba,SP,316,36701.11,116.14
macae,RJ,228,36599.73,160.53
sao caetano do sul,SP,272,36423.18,133.91
sao carlos,SP,231,33902.38,146.76
taubate,SP,260,33717.72,129.68
cotia,SP,242,33665.27,139.11
diadema,SP,276,33305.01,120.67
guaruja,SP,217,32644.02,150.43
betim,MG,196,32101.51,163.78
uberaba,MG,186,31881.58,171.41
canoas,RS,205,31602.36,154.16
feira de santana,BA,181,31427.0,173.63
nova friburgo,RJ,142,30715.4,216.31
montes claros,MG,207,30663.25,148.13
presidente prudente,SP,157,29162.33,185.75
blumenau,SC,181,28625.77,158.15
suzano,SP,230,28159.46,122.43
americana,SP,216,28142.82,130.29
pelotas,RS,183,27209.34,148.68
cascavel,PR,146,27148.38,185.95
limeira,SP,186,26060.73,140.11
porto velho,RO,108,26028.6,241.01
ipatinga,MG,169,25958.56,153.6
santana de parnaiba,SP,178,25866.02,145.31
manaus,AM,137,25542.8,186.44
jaboatao dos guararapes,PE,131,25282.34,192.99
franca,SP,154,25275.26,164.13
valinhos,SP,181,25190.98,139.18
sumare,SP,178,24365.06,136.88
sao jose,SC,167,24230.43,145.09
pouso alegre,MG,128,23967.97,187.25
atibaia,SP,154,23183.87,150.54
nova lima,MG,96,23112.18,240.75
braganca paulista,SP,144,22683.23,157.52
campina grande,PB,67,22657.35,338.17
araraquara,SP,150,22649.94,151.0
rio claro,SP,151,22510.44,149.08
embu das artes,SP,157,22400.92,142.68
rio das ostras,RJ,130,22354.96,171.96
ponta grossa,PR,141,21786.91,154.52
barra mansa,RJ,119,21511.39,180.77
governador valadares,MG,134,21475.73,160.27
sao vicente,SP,157,21462.45,136.7
itajai,SC,119,21456.93,180.31
itaquaquecetuba,SP,168,21421.83,127.51
angra dos reis,RJ,83,21421.33,258.09
palmas,TO,88,21345.83,242.57
itapevi,SP,170,21151.41,124.42
gravatai,RS,111,21131.64,190.38
jacarei,SP,189,20939.76,110.79
sao joao de meriti,RJ,124,20782.72,167.6
ananindeua,PA,85,20777.66,244.44
novo hamburgo,RS,121,20527.6,169.65
teresopolis,RJ,119,20266.36,170.31
sete lagoas,MG,126,20173.89,160.11
anapolis,GO,111,20029.83,180.45
cariacica,ES,135,19353.08,143.36
patos de minas,MG,99,19266.79,194.61
aracatuba,SP,138,19261.27,139.57
vitoria da conquista,BA,88,19252.21,218.78
cachoeiro de itapemirim,ES,121,19171.42,158.44
rio grande,RS,121,19068.89,157.59
balneario camboriu,SC,97,18971.08,195.58
botucatu,SP,100,18965.13,189.65
araruama,RJ,74,18836.77,254.55
cabo frio,RJ,113,18812.18,166.48
paulinia,SP,127,18545.23,146.03
hortolandia,SP,142,18413.0,129.67
pocos de caldas,MG,116,18309.37,157.84
vicosa,MG,87,18245.65,209.72
passo fundo,RS,112,18088.81,161.51
marica,RJ,133,18020.17,135.49
sao jose dos pinhais,PR,130,17521.99,134.78
chapeco,SC,101,17500.08,173.27
ferraz de vasconcelos,SP,109,17385.65,159.5
rio branco,AC,69,16823.18,243.81
mage,RJ,106,16751.06,158.03
birigui,SP,78,16626.83,213.16
guaratingueta,SP,96,16593.2,172.85
aparecida de goiania,GO,105,16558.56,157.7
resende,RJ,115,16300.28,141.74
petrolina,PE,62,16253.02,262.15
criciuma,SC,91,16054.82,176.43
varginha,MG,88,16008.4,181.91
itajuba,MG,92,15992.36,173.83
nilopolis,RJ,103,15462.98,150.13
jaragua do sul,SC,88,15298.04,173.84
olinda,PE,89,15081.42,169.45
araxa,MG,75,15041.84,200.56
araras,SP,93,15010.42,161.4
santa barbara d'oeste,SP,118,14980.13,126.95
ribeirao das neves,MG,98,14772.34,150.74
lavras,MG,80,14744.86,184.31
belford roxo,RJ,104,14624.35,140.62
ourinhos,SP,77,14316.78,185.93
barbacena,MG,79,14209.71,179.87
pindamonhangaba,SP,98,14205.22,144.95
itu,SP,129,14195.91,110.05
caieiras,SP,97,14186.28,146.25
itapetininga,SP,77,14048.45,182.45
linhares,ES,64,13987.35,218.55
assis,SP,84,13819.31,164.52
foz do iguacu,PR,86,13806.35,160.54
itatiba,SP,97,13634.01,140.56
lages,SC,83,13616.22,164.05
macapa,AP,53,13545.04,255.57
sao joao da boa vista,SP,80,13428.77,167.86
caraguatatuba,SP,83,13412.43,161.6
sao leopoldo,RS,103,13185.7,128.02
santa luzia,MG,89,13157.56,147.84
mogi-guacu,SP,89,13123.03,147.45
palhoca,SC,90,12938.05,143.76
barreiras,BA,51,12687.51,248.77
tatui,SP,72,12669.55,175.97
amparo,SP,63,12606.72,200.11
muriae,MG,63,12532.07,198.92
sobral,CE,33,12440.17,376.97
rondonopolis,MT,64,12381.59,193.46
caruaru,PE,63,12282.07,194.95
tubarao,SC,60,12125.77,202.1
itabira,MG,77,12120.45,157.41
varzea paulista,SP,75,12093.68,161.25
votorantim,SP,84,12085.64,143.88
araguari,MG,54,12048.94,223.13
santa cruz do sul,RS,62,11974.65,193.14
guarapari,ES,66,11951.82,181.09
franco da rocha,SP,108,11830.23,109.54
ribeirao pires,SP,107,11780.63,110.1
rio verde,GO,63,11765.22,186.75
toledo,PR,70,11688.66,166.98
porto seguro,BA,39,11671.6,299.27
gaspar,SC,29,11602.95,400.1
salto,SP,89,11601.1,130.35
cacapava,SP,72,11488.42,159.56
cajamar,SP,97,11413.59,117.67
itanhaem,SP,74,11370.65,153.66
jatai,GO,54,11337.94,209.96
caratinga,MG,62,11211.45,180.83
cachoeirinha,RS,72,10975.34,152.44
mesquita,RJ,75,10927.32,145.7
catanduva,SP,72,10922.03,151.69
lauro de freitas,BA,72,10885.47,151.19
jau,SP,73,10847.52,148.6
poa,SP,85,10803.8,127.1
conselheiro lafaiete,MG,82,10750.73,131.11
sao roque,SP,75,10721.19,142.95
pato branco,PR,53,10599.58,199.99
dourados,MS,63,10515.66,166.92
ilheus,BA,69,10500.1,152.18
bertioga,SP,47,10442.34,222.18
vinhedo,SP,90,10382.01,115.36
lins,SP,54,10360.58,191.86
barretos,SP,69,10351.45,150.02
mairipora,SP,75,10345.67,137.94
bage,RS,62,10272.97,165.69
arapiraca,AL,29,10150.03,350.0
paracatu,MG,62,10113.1,163.11
pinhais,PR,66,10103.74,153.09
manhuacu,MG,64,10066.6,157.29
mogi mirim,SP,75,9974.89,133.0
guarapuava,PR,62,9900.2,159.68
pirassununga,SP,69,9866.23,142.99
itapecerica da serra,SP,93,9846.11,105.87
sao joao del rei,MG,66,9744.43,147.64
votuporanga,SP,63,9740.19,154.61
brusque,SC,60,9714.82,161.91
avare,SP,63,9713.47,154.18
francisco morato,SP,94,9688.8,103.07
lagoa santa,MG,58,9681.01,166.91
jandira,SP,84,9658.31,114.98
jaguariuna,SP,60,9595.58,159.93
teofilo otoni,MG,75,9586.63,127.82
luis eduardo magalhaes,BA,36,9538.69,264.96
ubatuba,SP,72,9536.95,132.46
itabuna,BA,60,9474.99,157.92
lajeado,RS,50,9440.38,188.81
videira,SC,44,9246.03,210.14
leme,SP,50,9157.01,183.14
imperatriz,MA,40,9144.78,228.62
lorena,SP,82,9137.71,111.44
parnamirim,RN,57,9127.52,160.13
colombo,PR,60,9014.88,150.25
itauna,MG,56,9009.27,160.88
araguaina,TO,38,8946.12,235.42
timoteo,MG,52,8938.86,171.9
boa vista,RR,40,8867.83,221.7
sao sebastiao,SP,56,8813.8,157.39
paranagua,PR,58,8778.47,151.35
camacari,BA,60,8722.58,145.38
aruja,SP,68,8699.66,127.94
nova serrana,MG,49,8677.6,177.09
juazeiro,BA,42,8643.38,205.79
campo mourao,PR,56,8579.69,153.21
tres lagoas,MS,42,8544.95,203.45
colatina,ES,63,8456.84,134.24
