product_category_name_english,total_price,total_freight,order_count,avg_review_score,total_revenue,revenue_share_%
health_beauty,1233131.72,178957.81,8647,4.19,1412089.53,9.16
watches_gifts,1166176.98,98156.14,5495,4.07,1264333.1199999999,8.2
bed_bath_table,1023434.76,201774.5,9272,3.93,1225209.26,7.95
sports_leisure,954852.55,163404.36,7530,4.17,1118256.9100000001,7.25
computers_accessories,888724.61,143999.16,6530,3.99,1032723.77,6.7
furniture_decor,711927.69,168402.23,6307,3.96,880329.9199999999,5.71
housewares,615628.69,142763.56,5743,4.11,758392.25,4.92
cool_stuff,610204.1,81476.79,3559,4.2,691680.89,4.49
auto,578966.65,90488.1,3810,4.12,669454.75,4.34
garden_tools,470495.28,96650.4,3448,4.09,567145.68,3.68
toys,471286.48,75774.58,3804,4.21,547061.0599999999,3.55
baby,400421.84,66305.81,2809,4.08,466727.65,3.03
perfumery,390144.65,53026.98,3086,4.22,443171.63,2.87
telephony,309860.23,69342.39,4093,3.99,379202.62,2.46
office_furniture,268154.31,67057.05,1254,3.52,335211.36,2.17
stationery,223788.69,45786.36,2264,4.25,269575.05,1.75
pet_shop,211695.64,38918.56,1688,4.22,250614.2,1.63
computers,218684.14,9665.62,177,4.22,228349.76,1.48
unknown,175967.21,27386.63,1412,3.94,203353.84,1.32
musical_instruments,184315.74,17871.38,611,4.22,202187.12,1.31
electronics,155043.93,45679.16,2517,4.07,200723.09,1.3
small_appliances,182754.12,15354.35,609,4.23,198108.47,1.28
fashion_bags_accessories,149329.39,30558.9,1820,4.2,179888.29,1.17
luggage_accessories,138701.63,30076.49,1019,4.35,168778.12,1.09
consoles_games,148003.37,19094.36,1018,4.14,167097.72999999998,1.08
construction_tools_construction,142108.49,20273.52,736,4.09,162382.00999999998,1.05
home_appliances_2,107953.95,10254.57,227,4.16,118208.51999999999,0.77
home_construction,81407.57,13614.8,483,3.96,95022.37000000001,0.62
home_appliances,78832.48,14469.3,747,4.23,93301.78,0.61
furniture_living_room,67350.7,17694.37,414,3.93,85045.06999999999,0.55
agro_industry_and_commerce,70566.1,5637.2,177,4.09,76203.3,0.49
home_confort,58008.45,8429.77,392,3.86,66438.22,0.43
air_conditioning,53323.56,6530.99,246,4.05,59854.549999999996,0.39
fixed_telephony,55315.21,4501.33,212,3.76,59816.54,0.39
kitchen_dining_laundry_garden_furniture,45531.98,11540.99,241,4.03,57072.97,0.37
audio,50570.6,5684.72,348,3.84,56255.32,0.36
books_general_interest,45302.15,8880.39,496,4.51,54182.54,0.35
construction_tools_lights,39957.0,7490.14,242,4.08,47447.14,0.31
industry_commerce_and_business,38498.81,7580.53,232,4.13,46079.34,0.3
construction_tools_safety,38773.22,3730.8,159,3.97,42504.020000000004,0.28
food,28731.15,7063.53,441,4.26,35794.68,0.23
market_place,27795.77,5318.61,274,4.07,33114.38,0.21
costruction_tools_garden,25096.28,5187.66,190,4.12,30283.94,0.2
fashion_shoes,23001.46,4813.37,235,4.3,27814.829999999998,0.18
signaling_and_security,21315.05,6477.54,138,4.09,27792.59,0.18
art,23657.3,3828.23,195,4.08,27485.53,0.18
drinks,21529.84,5441.27,287,4.12,26971.11,0.17
books_technical,18702.23,4198.84,256,4.39,22901.07,0.15
food_drink,14942.88,4394.89,221,4.37,19337.77,0.13
fashion_male_clothing,10452.33,2062.62,106,3.76,12514.95,0.08
christmas_supplies,8737.84,3190.91,125,4.07,11928.75,0.08
fashion_underwear_beach,9305.95,1854.07,117,4.05,11160.02,0.07
