purchase_month,order_count,total_revenue,avg_delivery_time,late_rate,is_peak
January,7819,1205369.83,13.94,5.435477682568103,False
February,8208,1237407.73,16.18,11.878654970760234,False
March,9549,1534929.19,15.41,15.122002303906168,False
April,9101,1523691.33,12.36,5.021426216899242,False
May,10295,1695625.92,11.39,5.33320380804352,True
June,9234,1502028.66,10.18,1.7982883761239303,False
July,10031,1594106.36,9.98,3.151176705225369,True
August,10544,1631324.0,9.09,4.884294385432473,True
September,4151,701220.95,11.85,4.385542168674699,False
October,4743,797607.67,12.29,3.984819734345351,False
November,7289,1153364.2,15.16,12.403951701427003,False
December,5514,843097.91,15.39,7.453754080522307,False
