customer_state,avg_delivery_days,median_delivery_days,order_count
RR,29.39,25.01,41
AP,27.19,24.35,67
AM,26.43,25.88,145
AL,24.54,22.33,397
PA,23.77,21.08,946
MA,21.57,19.19,717
SE,21.52,18.01,335
CE,21.27,18.21,1279
AC,21.04,18.36,80
PB,20.43,18.15,517
PI,19.46,16.29,476
RO,19.37,17.58,243
BA,19.34,16.91,3256
RN,19.28,16.06,474
PE,18.45,15.7,1593
MT,18.06,16.11,886
TO,17.66,15.87,274
ES,15.79,13.64,1995
MS,15.62,13.94,701
GO,15.61,13.95,1957
RJ,15.31,12.04,12350
RS,15.3,13.18,5344
SC,14.95,13.01,3546
DF,12.97,11.36,2080
MG,12.01,10.31,11354
PR,11.99,10.43,4923
SP,8.76,7.21,40493
